Order_ID,Date,Status,Fulfilment,Sales_Channel,ship_service_level,Category,Size,Courier_Status,Qty,currency,Amount,ship_city,ship_state,ship_postal_code,ship_country,B2B,fulfilled_by,New,PendingS
404-0489249-5004350,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,654,KANPUR,UTTAR PRADESH,208017,IN,FALSE,,,
171-4531834-4554765,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XXL,Shipped,1,INR,635,VADODARA,Gujarat,390006,IN,FALSE,Easy Ship,,
407-7781251-2009134,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,925,ARWAL,BIHAR,804421,IN,FALSE,,,
408-4129384-7673926,04-28-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,568,Visakhapatnam,ANDHRA PRADESH,530022,IN,FALSE,,,
402-6596009-0106747,04-28-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,376,Hunsur,KARNATAKA,571105,IN,FALSE,,,
171-6500397-6716317,04-28-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,568,KANPUR,UTTAR PRADESH,208001,IN,FALSE,,,
402-6212559-1589961,04-26-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,788,MUMBAI,MAHARASHTRA,400088,IN,FALSE,,,
171-3003328-2511523,04-26-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,XS,On the Way,0,INR,750.48,Pune,MAHARASHTRA,411021,IN,FALSE,Easy Ship,,
402-6378082-7762738,04-26-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,801,HYDERABAD,TELANGANA,500032,IN,FALSE,,,
403-7122777-1392326,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,L,Shipped,1,INR,487,SHAHJAHANPUR,UTTAR PRADESH,242001,IN,FALSE,Easy Ship,,
405-2351529-1369942,04-25-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,597,AZHIYUR,KERALA,673310,IN,FALSE,Easy Ship,,
404-8945776-9809914,04-25-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,3XL,Shipped,1,INR,376,CHENNAI,TAMIL NADU,600078,IN,FALSE,,,
405-6432863-5885153,04-24-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Wallet,Free,Shipped,1,INR,419,HYDERABAD,TELANGANA,500080,IN,FALSE,Easy Ship,,
171-5651732-3061148,04-23-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,3XL,Shipped,1,INR,517,PUNE,MAHARASHTRA,411014,IN,FALSE,,,
408-4701817-1419556,04-23-22,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,L,Cancelled,0,,,COIMBATORE,TAMIL NADU,641006,IN,FALSE,,,
406-5173380-9185151,04-22-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,486,NEW DELHI,DELHI,110020,IN,FALSE,,,
403-1570514-0879537,04-21-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,1115,NEW DELHI,DELHI,110096,IN,FALSE,Easy Ship,,
404-4299120-4237920,04-21-22,Cancelled,Amazon,Amazon.in,Expedited,Shirt,M,Unshipped,1,INR,432,Avinashi,TAMIL NADU,641654,IN,FALSE,,,
402-3413525-2620339,04-20-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,399,KHARAGPUR,WEST BENGAL,721302,IN,FALSE,Easy Ship,,
171-4972801-6617945,04-20-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,M,Shipped,1,INR,744,GHAZIABAD,UTTAR PRADESH,201009,IN,FALSE,Easy Ship,,
407-2106397-6947502,04-20-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,3XL,Shipped,1,INR,484,KANHANGAD,KERALA,671314,IN,FALSE,,,
404-6921616-6397966,04-20-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,597,BENGALURU,KARNATAKA,560010,IN,FALSE,,,
405-5962211-7769957,04-20-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,3XL,Shipped,1,INR,299,DIU,DADRA AND NAGAR,362570,IN,FALSE,,,
402-8278179-5763508,04-20-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,399,Nizamabad,TELANGANA,503245,IN,FALSE,Easy Ship,,
408-9311004-3699547,04-19-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XXL,Shipped,1,INR,0,CHANDANNAGAR,WEST BENGAL,712136,IN,FALSE,Easy Ship,,
