Order_ID,Date,Status,Fulfilment,ORDERS_Channel,ship_service_level,Category,Size,Courier_Status,Qty,currency,Amount,ship_city,ship_state,ship_postal_code,ship_country,B2B,fulfilled_by,New,PendingS
402-8288606-4313118,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,516.9989855015194,BILASPUR,HIMACHAL PRADESH,174001,IN,False,,,
405-3036350-8089120,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,794.9761527705574,ANKLESHWR,Gujarat,393002,IN,False,,,
404-1580706-8406729,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,474.9775639948803,CHENNAI,TAMIL NADU,600028,IN,False,,,
404-4388660-6585119,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,1186.017084569087,HYDERABAD,TELANGANA,500050,IN,False,,,
407-9815175-7715562,04-30-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,M,On the Way,0,INR,872.3500120399416,UDMA,KERALA,671319,IN,False,Easy Ship,,
171-4519721-7419566,04-29-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XL,Shipped,1,INR,816.0325626263244,GURUGRAM,HARYANA,122002,IN,False,Easy Ship,,
408-2830412-5001168,04-29-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,499.0060075980319,PUTTUR,KARNATAKA,574203,IN,False,Easy Ship,,
406-2932330-3321959,04-29-22,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,S,Cancelled,0,,,CHIRAWA,RAJASTHAN,333026,IN,False,,,
403-3329838-9233131,04-29-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,653.9959868395791,LUCKNOW,UTTAR PRADESH,226003,IN,False,,,
403-5061524-1069157,04-28-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,1111.936616524575,BHILAI,CHHATTISGARH,490006,IN,False,,,
407-2381438-0794755,04-28-22,Cancelled,Merchant,Amazon.in,Standard,Blazzer,XXL,On the Way,0,INR,753.3861767860388,GURUGRAM,HARYANA,122004,IN,False,Easy Ship,,
407-9287244-6741956,04-28-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,XL,Shipped,1,INR,884.9918157660143,SURAT,Gujarat,395009,IN,False,,,
402-6247468-4355542,04-27-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,L,Shipped,1,INR,458.9144711459592,LAKHIMPUR,UTTAR PRADESH,262701,IN,False,Easy Ship,,
404-8541183-2625124,04-27-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XL,Shipped,1,INR,611.9737196812274,GANJAM,ODISHA,761121,IN,False,Easy Ship,,
408-2737126-0817167,04-27-22,Shipped,Amazon,Amazon.in,Standard,Shirt,S,Shipped,-1,INR,-0.04737033896577508,AHMEDABAD,Gujarat,382345,IN,False,,,
403-1147455-0953128,04-26-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,1648.0120845767817,MUMBAI,MAHARASHTRA,400089,IN,False,,,
403-5256514-5961111,04-26-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,S,On the Way,0,,,MUMBAI,MAHARASHTRA,400078,IN,False,Easy Ship,,
405-4273004-7443538,04-26-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,353.0136606202708,PILERU,ANDHRA PRADESH,517214,IN,False,,,
402-4715238-8520355,04-26-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,S,On the Way,0,INR,-681.0324080869824,SRI GANGANAGAR,RAJASTHAN,335001,IN,False,Easy Ship,,
403-5332667-6713917,04-25-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,M,On the Way,0,INR,1278.622271690176,BHOTA,HIMACHAL PRADESH,176041,IN,False,Easy Ship,,
406-9471395-3065105,04-25-22,Cancelled,Merchant,Amazon.in,Standard,Trousers,XXL,On the Way,0,INR,595.3323368517282,Gorakhpur,UTTAR PRADESH,273008,IN,False,Easy Ship,,
404-0666105-3601963,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,517.0061174701829,GURUGRAM,HARYANA,122004,IN,False,Easy Ship,,
404-9948787-3166729,04-24-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,XL,Shipped,1,INR,744.0668805712354,GHAZIABAD,UTTAR PRADESH,201009,IN,False,,,
405-0892389-6639551,04-24-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,455.0618502998357,Bengaluru,KARNATAKA,560076,IN,False,,,
408-8113325-9568307,04-24-22,Cancelled,Amazon,Amazon.in,Expedited,Blazzer,S,Cancelled,0,,,HYDERABAD,TELANGANA,500020,IN,False,,,
403-5256514-5961111,04-26-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,S,On the Way,0,,,MUMBAI,MAHARASHTRA,400078,IN,False,Easy Ship,,
